--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,6,276,8555,6581,1768,1119,.591,.324,.695,31.0,23.8,6.4,4.1,30.3,.170,4.5,14.1
2,2,MEM,Ja Morant,Murray State,7,327,10370,7331,1513,2428,.466,.311,.773,31.7,22.4,4.6,7.4,24.3,.113,2.5,11.8
3,3,NYK,RJ Barrett,Duke,7,444,14540,8391,2450,1465,.447,.345,.700,32.7,18.9,5.5,3.3,17.3,.057,-1.5,1.8
4,4,LAL,De'Andre Hunter,Virginia,7,372,10996,5454,1521,587,.447,.364,.825,29.6,14.7,4.1,1.6,13.1,.057,-2.7,-2.0
5,5,CLE,Darius Garland,Vanderbilt,7,427,14037,8049,1122,2859,.454,.389,.866,32.9,18.9,2.6,6.7,27.1,.093,0.2,7.9
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,7,472,13815,7273,1709,1818,.434,.369,.856,29.3,15.4,3.6,3.9,19.9,.069,-1.5,1.7
8,8,ATL,Jaxson Hayes,Texas,7,433,7229,2991,1714,318,.665,.280,.689,16.7,6.9,4.0,0.7,25.1,.167,-0.1,3.5
9,9,WAS,Rui Hachimura,Gonzaga,7,405,11272,5098,1864,496,.499,.394,.758,27.8,12.6,4.6,1.2,18.7,.080,-2.0,0.1
10,10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,.398,.322,.821,23.1,8.5,2.7,1.2,3.3,.027,-3.1,-1.7
11,11,MIN,Cameron Johnson,UNC,7,394,10667,5055,1548,796,.457,.396,.849,27.1,12.8,3.9,2.0,26.6,.120,1.2,8.8
12,12,CHO,P.J. Washington,Kentucky,7,446,13653,5914,2676,976,.448,.354,.705,30.6,13.3,6.0,2.2,16.5,.058,-1.3,2.6
13,13,MIA,Tyler Herro,Kentucky,7,394,12796,7664,1960,1596,.450,.382,.878,32.5,19.5,5.0,4.1,22.3,.084,0.8,9.0
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,.387,.321,.787,20.3,6.3,3.8,1.5,5.0,.060,-1.1,1.0
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,7,459,10545,4882,1216,1168,.427,.372,.807,23.0,10.6,2.6,2.5,16.5,.075,-0.6,3.7
18,18,IND,Goga Bitadze,,7,383,5577,2107,1639,454,.561,.229,.671,14.6,5.5,4.3,1.2,19.3,.166,1.1,4.4
19,19,SAS,Luka Šamanić,,4,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8
20,20,BOS,Matisse Thybulle,Washington,7,377,7749,1872,769,415,.438,.349,.683,20.6,5.0,2.0,1.1,15.4,.095,1.1,6.1
21,21,OKC,Brandon Clarke,Gonzaga,7,309,6412,3144,1689,410,.605,.266,.697,20.8,10.2,5.5,1.3,24.6,.184,2.4,7.1
22,22,BOS,Grant Williams,Tennessee,7,416,9421,2976,1535,608,.450,.378,.778,22.6,7.2,3.7,1.5,17.4,.089,-1.6,1.0
23,23,UTA,Darius Bazley,,5,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6
24,24,PHI,Ty Jerome,Virginia,7,244,4480,2281,509,733,.460,.386,.854,18.4,9.3,2.1,3.0,11.2,.120,0.9,3.3
25,25,POR,Nassir Little,UNC,5,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5
26,26,CLE,Dylan Windler,Belmont,4,101,1090,319,212,78,.425,.347,.800,10.8,3.2,2.1,0.8,1.6,.072,-1.4,0.2
27,27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
28,28,GSW,Jordan Poole,Michigan,7,451,12283,7466,1187,1671,.418,.344,.877,27.2,16.6,2.6,3.7,11.4,.045,-1.9,0.4
29,29,SAS,Keldon Johnson,Kentucky,7,452,12511,6842,2432,908,.475,.353,.767,27.7,15.1,5.4,2.0,23.2,.089,-1.0,3.2
30,30,MIL,Kevin Porter Jr.,USC,6,309,8671,4440,1318,1523,.439,.348,.757,28.1,14.4,4.3,4.9,9.0,.050,-0.9,2.5
31,31,BRK,Nic Claxton,Georgia,7,380,9944,4024,2875,788,.622,.186,.555,26.2,10.6,7.6,2.1,30.9,.149,1.3,8.2
32,32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,6,220,2326,872,712,161,.543,.122,.653,10.6,4.0,3.2,0.7,3.8,.079,-3.0,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,7,263,5733,1600,975,582,.434,.305,.658,21.8,6.1,3.7,2.2,7.1,.059,-1.8,0.3
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,7,433,8684,4021,2505,455,.702,.000,.674,20.1,9.3,5.8,1.1,35.2,.195,1.7,8.2
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,4,131,1372,426,215,78,.417,.326,.782,10.5,3.3,1.6,0.6,1.2,.043,-4.6,-0.9
43,43,MIN,Jaylen Nowell,Washington,6,205,3519,1815,445,380,.442,.316,.792,17.2,8.9,2.2,1.9,4.7,.064,-2.1,-0.1
44,44,MIA,Bol Bol,Oregon,6,202,2750,1243,709,126,.545,.332,.749,13.6,6.2,3.5,0.6,5.0,.088,-0.4,1.1
45,45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
46,46,ORL,Talen Horton-Tucker,Iowa State,6,305,5942,2809,800,852,.427,.299,.771,19.5,9.2,2.6,2.8,6.0,.049,-2.0,0.0
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,7,475,10630,3786,1651,980,.496,.371,.782,22.4,8.0,3.5,2.1,23.3,.105,-1.2,2.2
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,6,252,4550,1699,829,292,.449,.322,.777,18.1,6.7,3.3,1.2,5.3,.056,-3.3,-1.5
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
